pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.65 w8,500,0.624,188,0.376,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.65_w8_0702_1613
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.65 w8,500,0.464,268,0.536,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w8_0702_1603
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.85 w16,500,0.588,206,0.412,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.85_w16_0702_1634
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w16 r=0.3,500,0.354,323,0.646,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.3_0625_1504
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w8 r=0.7,500,0.384,308,0.616,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.7_0625_1500
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w16 r=0.5,500,0.39,305,0.61,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.5_0625_1508
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w8 r=0.5,500,0.384,308,0.616,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.5_0625_1456
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w16 r=0.7,500,0.396,302,0.604,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.7_0625_1513
table1_pair6_llama32_abliterated_deepseek3b,musique,ReKV-w8 r=0.3,500,0.362,319,0.638,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.3_0625_1452
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.75 w8,500,0.374,313,0.626,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.75_w8_0702_1711
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.85 w16,500,0.394,303,0.606,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.85_w16_0702_1748
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.65 w16,500,0.36,320,0.64,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.65_w16_0702_1729
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.75 w16,500,0.358,321,0.642,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w16_0702_1733
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.75 w8,500,0.384,308,0.616,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w8_0625_1517
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.65 w8,500,0.378,311,0.622,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.65_w8_0702_1708
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.85 w8,500,0.388,306,0.612,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.85_w8_0702_1715
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.65 w8,500,0.376,312,0.624,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.65_w8_0702_1705
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.85 w16,500,0.362,319,0.638,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.85_w16_0702_1737
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.90 w16,500,0.368,316,0.632,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.90_w16_0625_1525
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.65 w16,500,0.38,310,0.62,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.65_w16_0702_1740
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.95 s=0.85 w8,500,0.37,315,0.63,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.85_w8_0625_1521
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.65 w8,500,0.324,338,0.676,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.65_w8_0702_1655
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.75 w8,500,0.33,335,0.67,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.75_w8_0702_1658
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.65 w16,500,0.324,338,0.676,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.65_w16_0702_1718
