policy,group,n_cells,n_samples,brekv_score,brekv_budget,fixed_score,fixed_budget,score_delta,budget_delta,lower_ratio,upper_ratio,interpolation_weight,pair,task
per_cell_budget_matched_fixed,pair2_llama32_same/hotpotqa,1,500,0.498,0.25603113600000005,0.501545996058198,0.25603113600000005,-0.0035459960581980176,0.0,0.2,0.25,0.566999896268369,pair2_llama32_same,hotpotqa
per_cell_best_fixed_unmatched,pair2_llama32_same/hotpotqa,1,500,0.498,0.25603113600000005,0.682,0.6144171079999997,-0.184,-0.35838597199999966,0.6,0.6,0.0,pair2_llama32_same,hotpotqa
per_cell_budget_matched_fixed,pair2_llama32_same/qasper,1,500,0.316,0.4067565699999998,0.3089576580392619,0.40675656999999976,0.00704234196073808,5.551115123125783e-17,0.35,0.4,0.6957658039261919,pair2_llama32_same,qasper
per_cell_best_fixed_unmatched,pair2_llama32_same/qasper,1,500,0.316,0.4067565699999998,0.324,0.5178436419999992,-0.008,-0.1110870719999994,0.5,0.5,0.0,pair2_llama32_same,qasper
per_cell_budget_matched_fixed,pair2_llama32_same/musique,1,500,0.232,0.26483521600000004,0.2260177279108725,0.26483521600000004,0.005982272089127505,0.0,0.2,0.25,0.7522159888590619,pair2_llama32_same,musique
per_cell_best_fixed_unmatched,pair2_llama32_same/musique,1,500,0.232,0.26483521600000004,0.342,0.6142813059999989,-0.11,-0.3494460899999988,0.6,0.6,0.0,pair2_llama32_same,musique
per_cell_budget_matched_fixed,pair2_llama32_same/multifieldqa_en,1,150,0.5066666666666667,0.4014879733333332,0.5255154673609748,0.4014879733333332,-0.018848800694308034,0.0,0.35,0.4,0.5863399479268973,pair2_llama32_same,multifieldqa_en
per_cell_best_fixed_unmatched,pair2_llama32_same/multifieldqa_en,1,150,0.5066666666666667,0.4014879733333332,0.5333333333333333,0.3732060066666668,-0.02666666666666667,0.02828196666666638,0.35,0.35,0.0,pair2_llama32_same,multifieldqa_en
per_cell_budget_matched_fixed,pair2_llama32_same/twowikimqa,1,200,0.415,0.40148981499999997,0.395,0.40148981499999997,0.02,0.0,0.35,0.4,0.5863683277089803,pair2_llama32_same,twowikimqa
per_cell_best_fixed_unmatched,pair2_llama32_same/twowikimqa,1,200,0.415,0.40148981499999997,0.42,0.228565815,-0.005,0.17292399999999997,0.2,0.2,0.0,pair2_llama32_same,twowikimqa
per_cell_budget_matched_fixed,pair2_llama32_same/tmath,1,300,0.3497881966666668,0.25761217333333336,0.3400329372291454,0.25761217333333336,0.009755259437521247,0.0,0.2,0.25,0.6025229435266686,pair2_llama32_same,tmath
per_cell_best_fixed_unmatched,pair2_llama32_same/tmath,1,300,0.3497881966666668,0.25761217333333336,0.36018941333333315,0.6142958833333334,-0.010401216666666666,-0.35668371000000004,0.6,0.6,0.0,pair2_llama32_same,tmath
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/countries,1,200,0.23,0.38494854499999986,0.08465709424422148,0.38494854499999986,0.14534290575577852,0.0,0.35,0.4,0.23901444306359634,pair3_qwen25_7b_same,countries
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/countries,1,200,0.23,0.38494854499999986,0.365,0.6140593000000003,-0.135,-0.22911075500000044,0.6,0.6,0.0,pair3_qwen25_7b_same,countries
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/tipsheets,1,500,0.87,0.37128636200000026,0.9076391405791622,0.37128636200000026,-0.037639140579162095,0.0,0.3,0.35,0.9639140579162093,pair3_qwen25_7b_same,tipsheets
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/tipsheets,1,500,0.87,0.37128636200000026,0.934,0.6143386320000007,-0.064,-0.24305227000000046,0.6,0.6,0.0,pair3_qwen25_7b_same,tipsheets
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/hotpotqa,1,500,0.49,0.36186102599999986,0.5000366540286332,0.36186102599999986,-0.010036654028633107,0.0,0.3,0.35,0.7672775671438852,pair3_qwen25_7b_same,hotpotqa
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/hotpotqa,1,500,0.49,0.36186102599999986,0.652,0.6143471200000005,-0.162,-0.2524860940000006,0.6,0.6,0.0,pair3_qwen25_7b_same,hotpotqa
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/qasper,1,500,0.236,0.35022945199999994,0.2781864466693242,0.35022945199999994,-0.04218644666932418,0.0,0.3,0.35,0.5233058336655225,pair3_qwen25_7b_same,qasper
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/qasper,1,500,0.236,0.35022945199999994,0.336,0.614291873999999,-0.1,-0.264062421999999,0.6,0.6,0.0,pair3_qwen25_7b_same,qasper
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/musique,1,500,0.234,0.3209176740000004,0.28449795209520157,0.3209176740000004,-0.05049795209520158,0.0,0.25,0.3,0.9166179070286092,pair3_qwen25_7b_same,musique
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/musique,1,500,0.234,0.3209176740000004,0.372,0.5178289699999992,-0.138,-0.1969112959999988,0.5,0.5,0.0,pair3_qwen25_7b_same,musique
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/multifieldqa_en,1,150,0.41333333333333333,0.33988730000000017,0.47744916023093786,0.3398873000000001,-0.0641158268976046,5.551115123125783e-17,0.3,0.35,0.3086870173203446,pair3_qwen25_7b_same,multifieldqa_en
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/multifieldqa_en,1,150,0.41333333333333333,0.33988730000000017,0.5266666666666666,0.42142562,-0.11333333333333333,-0.08153831999999983,0.4,0.4,0.0,pair3_qwen25_7b_same,multifieldqa_en
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/twowikimqa,1,200,0.405,0.31823836499999986,0.465090110565467,0.31823836499999986,-0.06009011056546704,0.0,0.25,0.3,0.8597174447276297,pair3_qwen25_7b_same,twowikimqa
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/twowikimqa,1,200,0.405,0.31823836499999986,0.47,0.32500169000000023,-0.065,-0.006763325000000375,0.3,0.3,0.0,pair3_qwen25_7b_same,twowikimqa
per_cell_budget_matched_fixed,pair3_qwen25_7b_same/tmath,1,300,0.3040080766666669,0.3630525066666668,0.3086044547737294,0.3630525066666668,-0.00459637810706247,0.0,0.3,0.35,0.7869380743152545,pair3_qwen25_7b_same,tmath
per_cell_best_fixed_unmatched,pair3_qwen25_7b_same/tmath,1,300,0.3040080766666669,0.3630525066666668,0.3214439000000001,0.6143839933333337,-0.017435823333333333,-0.25133148666666694,0.6,0.6,0.0,pair3_qwen25_7b_same,tmath
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/countries,1,200,0.25,0.43569405999999977,0.3251660808254205,0.43569405999999977,-0.07516608082542048,0.0,0.4,0.5,0.1444388650040044,pair4_falcon3_7b_same,countries
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/countries,1,200,0.25,0.43569405999999977,0.415,0.5182685900000006,-0.165,-0.08257453000000081,0.5,0.5,0.0,pair4_falcon3_7b_same,countries
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/tipsheets,1,500,0.818,0.3280979540000002,0.6802971406110032,0.3280979540000002,0.13770285938899687,0.0,0.3,0.35,0.0642565368469707,pair4_falcon3_7b_same,tipsheets
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/tipsheets,1,500,0.818,0.3280979540000002,0.928,0.6141721279999994,-0.11,-0.28607417399999924,0.6,0.6,0.0,pair4_falcon3_7b_same,tipsheets
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/hotpotqa,1,500,0.426,0.3392620719999996,0.45657458331052003,0.3392620719999996,-0.030574583310519998,0.0,0.3,0.35,0.2937384252922222,pair4_falcon3_7b_same,hotpotqa
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/hotpotqa,1,500,0.426,0.3392620719999996,0.6,0.6141236979999998,-0.174,-0.2748616260000002,0.6,0.6,0.0,pair4_falcon3_7b_same,hotpotqa
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/qasper,1,500,0.146,0.21430740199999987,0.19689742706738583,0.21430740199999987,-0.050897427067385835,0.0,0.15,0.2,0.7040594611410765,pair4_falcon3_7b_same,qasper
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/qasper,1,500,0.146,0.21430740199999987,0.238,0.6142873359999992,-0.092,-0.3999799339999993,0.6,0.6,0.0,pair4_falcon3_7b_same,qasper
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/musique,1,500,0.256,0.2592135399999999,0.262304919985425,0.2592135399999999,-0.006304919985424976,0.0,0.2,0.25,0.6345287495445305,pair4_falcon3_7b_same,musique
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/musique,1,500,0.256,0.2592135399999999,0.402,0.614252,-0.146,-0.3550384600000001,0.6,0.6,0.0,pair4_falcon3_7b_same,musique
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/multifieldqa_en,1,150,0.26666666666666666,0.15248373333333334,0.32666666666666666,0.15248373333333334,-0.06,0.0,0.1,0.15,0.42186695235044747,pair4_falcon3_7b_same,multifieldqa_en
