pair,task_type,dataset,method,n,score_mean,run_dir
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w8 r=0.3,500,0.306,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.3_0625_1647
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w8 r=0.5,500,0.302,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.5_0625_1658
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w16 r=0.5,500,0.326,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.5_0625_1727
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,B-ReKV t=0.95 s=0.75 w8,500,0.3,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.75_w8_0625_1746
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,B-ReKV t=0.95 s=0.90 w16,500,0.324,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.90_w16_0625_1805
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,B-ReKV t=0.95 s=0.85 w8,500,0.306,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.85_w8_0625_1755
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w8 r=0.7,300,0.334226,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w8_r0.7_0630_1756
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w16 r=0.7,300,0.330873,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w16_r0.7_0630_2219
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w16 r=0.3,300,0.331146,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w16_r0.3_0630_1934
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w8 r=0.5,300,0.330114,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w8_r0.5_0630_1632
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w16 r=0.5,300,0.335572,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w16_r0.5_0630_2058
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,ReKV-w8 r=0.3,300,0.327438,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/mtc_receiver/recv_w8_r0.3_0630_1505
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,B-ReKV t=0.95 s=0.75 w8,300,0.330401,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/coverage/cov_t0.95_s0.75_w8_0630_2359
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,B-ReKV t=0.95 s=0.90 w16,300,0.329506,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/coverage/cov_t0.95_s0.90_w16_0701_0320
table1_pair7_qwen25_uncensored_bespoke,math_reasoning,tmath,B-ReKV t=0.95 s=0.85 w8,300,0.328573,snapshots/table1_pair7_qwen25_uncensored_bespoke/tmath/coverage/cov_t0.95_s0.85_w8_0701_0136
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w8 r=0.5,200,0.175,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.5_0630_0752
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w8 r=0.7,200,0.2,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.7_0630_0802
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w16 r=0.5,200,0.15,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.5_0630_0822
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w8 r=0.3,200,0.15,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.3_0630_0742
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w16 r=0.7,200,0.175,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.7_0630_0832
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,ReKV-w16 r=0.3,200,0.135,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.3_0630_0812
