dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
tmath,evict_r0.3_cost_0702_2008,295,0.31922,0.32486,0.32486,6.983,196.528814,93.067797,253.613559,0.033937,0.0,8.336206,8.372298,12.098654,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/mtc_evict/evict_r0.3_cost_0702_2008
tmath,random_r0.3_cost_0702_2050,295,0.314094,0.32486,0.32486,6.983,196.528814,93.067797,253.108475,0.047782,0.0,10.610332,10.662579,12.098551,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/mtc_random/random_r0.3_cost_0702_2050
twowikimqa,B-ReKV t=0.95 s=0.75 w8,195,0.405128,0.219543,0.219543,172.42,7162.451282,48.789744,5.723077,0.637623,0.083036,0.210377,0.955876,15.498745,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/coverage/cov_t0.95_s0.75_w8_cost_0702_1736
twowikimqa,B-ReKV t=0.95 s=0.85 w8,195,0.4,0.24394,0.24394,191.579,7162.451282,48.789744,5.533333,0.63741,0.080657,0.205403,0.948383,15.522707,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/coverage/cov_t0.95_s0.85_w8_cost_0702_1740
twowikimqa,B-ReKV t=0.95 s=0.90 w16,195,0.410256,0.301448,0.301448,234.782,7162.451282,48.789744,5.502564,0.637555,0.081627,0.199531,0.944836,15.574785,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/coverage/cov_t0.95_s0.90_w16_cost_0702_1744
twowikimqa,KVComm top=0.3,195,0.292308,0.285846,0.285846,223.905,7162.451282,48.789744,6.220513,0.637306,0.0,0.224511,0.888101,15.007357,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/kvcomm/kvcomm_top0.3_cost_0702_1711
twowikimqa,KVComm top=0.5,195,0.358974,0.500092,0.500092,391.751,7162.451282,48.789744,5.292308,0.640839,0.0,0.284955,0.973073,15.349971,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/kvcomm/kvcomm_top0.5_cost_0702_1714
twowikimqa,KVComm top=0.7,195,0.358974,0.678631,0.678631,531.623,7162.451282,48.789744,5.682051,0.637824,0.0,0.207747,0.871972,15.635668,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/kvcomm/kvcomm_top0.7_cost_0702_1718
twowikimqa,ReKV-w16 r=0.3,195,0.410256,0.325002,0.325002,254.601,7162.451282,48.789744,5.615385,0.637497,0.073615,0.208844,0.944031,15.60079,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/mtc_receiver/recv_w16_r0.3_cost_0702_1733
twowikimqa,ReKV-w8 r=0.3,195,0.4,0.325002,0.325002,254.601,7162.451282,48.789744,5.635897,0.636961,0.074104,0.211261,0.947079,15.60079,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/mtc_receiver/recv_w8_r0.3_cost_0702_1729
twowikimqa,evict_r0.3_cost_0702_1722,195,0.302564,0.325002,0.325002,254.601,7162.451282,48.789744,6.041026,0.637806,0.0,0.224925,0.887859,14.789968,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/mtc_evict/evict_r0.3_cost_0702_1722
twowikimqa,random_r0.3_cost_0702_1725,195,0.302564,0.325002,0.325002,254.601,7162.451282,48.789744,6.14359,0.638451,0.0,0.308803,0.989024,14.78998,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/twowikimqa/mtc_random/random_r0.3_cost_0702_1725
